uid,username,gender,email
1,Amy,FEMALE,amyy@gmail.com
2,Henry,MALE,henry@gmail.com
3,Angela,FEMALE,angela@gmail.com
4,Caroline,FEMALE,caroline@gmail.com
5,Grace,FEMALE,grace@gmail.com
6,Marcel,MALE,marcel@gmail.com
7,Carsen,MALE,carsen@gmail.com
8,Jasmine,FEMALE,jasmine@gmail.com
9,Maria,FEMALE,maria@gmail.com
10,Rachel,FEMALE,rachel@gmail.com
11,Rayan,MALE,rayan@gmail.com
12,Jairo,MALE,jairo@gmail.com
13,Sophie,FEMALE,sophie@gmail.com
14,Kareem,MALE,kareem@gmail.com
15,Steven,MALE,steven@gmail.com
